epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall

0,0.4744645655155182,0.8854733109474182,0.778181791305542,0.45338982343673706,0.5039370059967041,0.69859379529953,0.8103448152542114,0.4747474789619446

1,0.4777594804763794,0.8339722752571106,0.7557755708694458,0.48516950011253357,0.5590550899505615,0.7009055018424988,0.9777777791023254,0.4444444477558136

2,0.5337726473808289,0.7184683680534363,0.8225256204605103,0.5105932354927063,0.5984252095222473,0.6665468215942383,0.9615384340286255,0.5050504803657532

3,0.5799011588096619,0.7273598909378052,0.8422712683677673,0.5656779408454895,0.6141732335090637,0.6605261564254761,0.9629629850387573,0.5252525210380554

4,0.6062602996826172,0.6796610355377197,0.8541033267974854,0.5953390002250671,0.6535432934761047,0.6227498650550842,0.9661017060279846,0.5757575631141663

5,0.6177924275398254,0.7078743577003479,0.8409090638160706,0.6271186470985413,0.6535432934761047,0.616299033164978,0.9661017060279846,0.5757575631141663

6,0.609555184841156,0.6689777970314026,0.8778135180473328,0.5783898234367371,0.6220472455024719,0.6446040868759155,0.9811320900917053,0.5252525210380554

7,0.6540362238883972,0.6024793982505798,0.8700565099716187,0.6525423526763916,0.6456692814826965,0.608394980430603,0.9655172228813171,0.5656565427780151

8,0.6985173225402832,0.5668204426765442,0.9002770185470581,0.6885592937469482,0.6456692814826965,0.6122025847434998,0.9821428656578064,0.5555555820465088

9,0.6902800798416138,0.5670615434646606,0.901129961013794,0.6758474707603455,0.6614173054695129,0.6031334400177002,0.982758641242981,0.5757575631141663

