epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.35749587416648865,1.7091991901397705,0.49696969985961914,0.13509060442447662,0.5590550899505615,1.2999781370162964,0.6470588445663452,0.08661417663097382
1,0.350906103849411,1.7134954929351807,0.4819277226924896,0.1317957192659378,0.5354330539703369,1.2934733629226685,0.6666666865348816,0.09448818862438202
2,0.33937397599220276,1.6441471576690674,0.5089820623397827,0.14003294706344604,0.5433070659637451,1.287431240081787,0.75,0.09448818862438202
3,0.34102141857147217,1.6265026330947876,0.4938271641731262,0.1317957192659378,0.5354330539703369,1.2806826829910278,0.75,0.09448818862438202
4,0.37726524472236633,1.6018377542495728,0.5657894611358643,0.14168038964271545,0.5196850299835205,1.2739195823669434,0.75,0.09448818862438202
5,0.35749587416648865,1.6119776964187622,0.5138888955116272,0.12191104143857956,0.5275590419769287,1.2670778036117554,0.7058823704719543,0.09448818862438202
6,0.3426688611507416,1.5616902112960815,0.5873016119003296,0.12191104143857956,0.5275590419769287,1.2602581977844238,0.7222222089767456,0.10236220806837082
7,0.33937397599220276,1.591908574104309,0.6230769157409668,0.13344316184520721,0.5275590419769287,1.2542210817337036,0.75,0.11811023950576782
8,0.37726524472236633,1.58235764503479,0.5789473652839661,0.14497528970241547,0.5275590419769287,1.247359037399292,0.761904776096344,0.12598425149917603
9,0.3706754446029663,1.5952725410461426,0.578125,0.12191104143857956,0.5196850299835205,1.2409121990203857,0.782608687877655,0.14173229038715363
10,0.36243823170661926,1.5481361150741577,0.5895522236824036,0.1301482766866684,0.5196850299835205,1.23518705368042,0.7307692170143127,0.14960630238056183
11,0.3706754446029663,1.5252609252929688,0.6214285492897034,0.14332784712314606,0.5196850299835205,1.2291382551193237,0.75,0.16535432636737823
