epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.18121911585330963,2.4086475372314453,0.16580310463905334,0.05271828547120094,0.17322835326194763,1.983538031578064,0.1111111119389534,0.007874015718698502
1,0.2174629271030426,2.0344297885894775,0.2641509473323822,0.06919275224208832,0.21259842813014984,1.8166471719741821,0.5,0.015748031437397003
2,0.20757825672626495,2.033717632293701,0.21374045312404633,0.04612850025296211,0.24409449100494385,1.717751145362854,0.4000000059604645,0.015748031437397003
3,0.2372322827577591,1.9065544605255127,0.2214765101671219,0.05436573177576065,0.29921260476112366,1.6185013055801392,0.6000000238418579,0.023622047156095505
4,0.25041186809539795,1.8492884635925293,0.30128204822540283,0.07742998003959656,0.3385826647281647,1.5462230443954468,0.6000000238418579,0.023622047156095505
5,0.27347612380981445,1.7847639322280884,0.39393940567970276,0.0856672152876854,0.4094488322734833,1.483117699623108,0.6666666865348816,0.031496062874794006
6,0.29324546456336975,1.7446355819702148,0.39416059851646423,0.08896210789680481,0.4645669162273407,1.4326376914978027,0.7142857313156128,0.03937007859349251
7,0.3492586612701416,1.6408073902130127,0.4545454680919647,0.11532124876976013,0.5039370059967041,1.3948743343353271,0.699999988079071,0.05511811003088951
8,0.3459637463092804,1.6324849128723145,0.46666666865348816,0.10378912836313248,0.5354330539703369,1.3549913167953491,0.6666666865348816,0.07874015718698502
9,0.3756178021430969,1.5092828273773193,0.5838509202003479,0.15485996007919312,0.5590550899505615,1.3093124628067017,0.7058823704719543,0.09448818862438202
